Wall time,Step,Value
1746332554.3204699,5,0.0
1746332554.3557515,6,0.0
1746332554.5348394,11,0.0
1746332554.626576,14,0.0
1746332554.6591554,15,0.0
1746332554.7778928,18,1.0
1746332554.8390532,20,0.0
1746332554.9753983,24,0.0
1746332555.4143639,36,0.0
1746332555.5701778,40,0.0
1746332555.641334,42,0.0
1746332555.7060165,44,0.0
1746332555.7401786,45,0.0
1746332555.8226547,47,0.0
1746332556.0251434,53,0.0
1746332556.0662467,54,0.0
1746332556.1038423,55,0.0
1746332556.1299105,56,0.0
1746332556.1529672,57,0.0
1746332556.4146724,65,0.0
1746332556.5224478,68,0.0
1746332556.6191964,71,0.0
1746332556.655862,72,0.0
1746332556.6934528,73,0.0
1746332556.720019,74,0.0
1746332556.9005687,79,0.0
1746332557.1863866,87,0.0
1746332557.2104497,88,0.0
1746332557.4147644,94,0.0
1746332557.6947918,102,0.0
1746332557.8060741,105,0.0
1746332557.83515,106,0.0
1746332558.0837245,113,0.0
1746332558.1742187,116,0.0
1746332558.235375,118,0.0
1746332558.584985,126,0.0
1746332558.674466,129,0.0
1746332558.7070405,130,0.0
1746332558.9969604,139,0.0
1746332559.0648086,141,0.0
1746332559.095387,142,0.0
1746332559.1344893,143,0.0
1746332559.4259772,150,0.0
1746332559.6046054,155,0.0
1746332559.6847184,157,0.0
1746332559.7308943,158,1.0
1746332559.8996875,162,0.0
1746332560.105055,167,0.0
1746332560.134132,168,0.0
1746332560.2505314,171,0.0
1746332560.4901323,177,0.0
1746332560.525224,178,0.0
1746332560.5993717,180,0.0
1746332560.6951714,183,0.0
1746332560.7722342,185,0.0
1746332560.8040416,186,0.0
1746332560.8762555,188,0.0
1746332560.9785783,190,0.0
1746332561.0346406,191,0.0
1746332561.3161077,198,0.0
1746332561.6349578,206,0.0
1746332561.6838896,207,0.0
1746332561.722858,208,0.0
1746332561.8554847,212,0.0
1746332562.2195802,222,0.0
1746332562.261552,223,0.0
1746332562.3451154,225,0.0
1746332562.4932761,229,0.0
1746332562.6142604,232,0.0
1746332562.6413321,233,0.0
1746332562.6759143,234,0.0
1746332562.7809596,237,0.0
1746332563.2503843,249,0.0
1746332563.4755888,255,0.0
1746332563.5862038,258,0.0
1746332563.6617644,260,0.0
1746332563.6900094,261,0.0
1746332563.7587817,263,0.0
1746332563.9079535,267,0.0
1746332564.0638304,271,0.0
1746332564.1284962,273,0.0
1746332564.3145912,278,0.0
1746332564.8395965,292,0.0
1746332565.0250401,297,0.0
1746332565.0593617,298,0.0
1746332565.2030568,302,0.0
1746332565.2301276,303,0.0
1746332565.371256,307,0.0
1746332565.4087694,308,0.0
1746332565.4835885,310,0.0
1746332565.5973327,313,0.0
1746332565.7454965,318,0.0
1746332565.7803612,319,0.0
1746332565.8162508,320,0.0
1746332566.0142245,325,0.0
1746332566.0650265,326,0.0
1746332566.1060092,327,0.0
1746332566.267891,330,0.0
1746332566.6709638,339,0.0
1746332566.7581065,341,0.0
1746332567.0575452,347,0.0
1746332567.3257985,353,0.0
1746332567.383254,354,0.0
1746332567.6273298,360,0.0
1746332567.7571554,363,0.0
1746332567.9565117,367,0.0
1746332568.1485393,371,0.0
1746332568.233527,373,0.0
1746332568.4091663,377,0.0
1746332568.4437528,378,0.0
1746332568.5056586,379,0.0
1746332568.5992832,381,0.0
1746332568.8234844,386,0.0
1746332569.03822,391,0.0
1746332569.0790498,392,0.0
1746332569.1288824,393,0.0
1746332569.7617638,408,0.0
1746332570.0748484,415,0.0
1746332570.309042,421,0.0
1746332570.3431106,422,0.0
1746332570.438222,424,0.0
1746332570.526803,426,0.0
1746332570.714786,430,0.0
1746332571.150162,439,0.0
1746332571.2293189,441,0.0
1746332571.2813783,442,0.0
1746332571.4288347,445,0.0
1746332571.7475567,451,0.0
1746332572.1164143,459,0.0
1746332572.1549714,460,0.0
1746332572.295088,463,0.0
1746332572.3543143,464,0.0
1746332572.7456245,473,0.0
1746332572.784299,474,0.0
1746332573.3501592,485,0.0
1746332573.51847,488,0.0
1746332573.5732358,489,0.0
1746332573.6903706,491,0.0
1746332573.7671447,493,0.0
1746332574.3833323,507,0.0
1746332574.6214254,512,0.0
1746332574.7329888,514,0.0
1746332574.8869388,517,0.0
1746332574.9771798,519,0.0
1746332575.214212,524,0.0
1746332575.2665675,525,1.0
1746332575.546297,531,0.0
1746332575.6254041,533,0.0
1746332575.6728075,534,0.0
1746332575.7566428,536,0.0
1746332575.8002605,537,0.0
1746332575.9309332,540,0.0
1746332576.045987,542,1.0
1746332576.344506,547,0.0
1746332576.3966484,548,0.0
1746332576.865633,557,0.0
1746332576.9840925,559,0.0
1746332577.1934633,563,0.0
1746332577.2476778,564,1.0
1746332577.2986317,565,0.0
1746332577.4972465,569,0.0
1746332577.7033608,573,0.0
1746332577.7659078,574,0.0
1746332577.9362018,577,1.0
1746332578.0590143,579,0.0
1746332578.1227534,580,0.0
1746332578.171311,581,0.0
1746332578.2160978,582,0.0
1746332578.2716599,583,0.0
1746332578.3242564,584,0.0
1746332578.4083235,586,0.0
1746332578.458371,587,0.0
1746332578.7402408,592,0.0
1746332578.7903447,593,0.0
1746332579.0302558,597,0.0
1746332579.1658518,600,0.0
1746332579.2782614,602,0.0
1746332579.6279154,608,0.0
1746332579.7493174,610,1.0
1746332580.1569257,615,0.0
1746332580.3947701,619,0.0
1746332580.4533024,620,0.0
1746332580.5911307,622,3.0
1746332581.2197466,634,0.0
1746332581.6569448,641,0.0
1746332581.7194002,642,1.0
1746332581.8212047,644,0.0
1746332581.8675668,645,0.0
1746332581.921221,646,0.0
1746332581.974017,647,0.0
1746332582.0936618,649,0.0
1746332582.2607293,652,0.0
1746332582.46859,656,0.0
1746332582.519236,657,0.0
1746332582.7267015,661,0.0
1746332582.885642,664,0.0
1746332583.101773,668,0.0
1746332583.2722974,671,2.0
1746332583.334841,672,0.0
1746332583.3905861,673,0.0
1746332583.445382,674,0.0
1746332583.496595,675,0.0
1746332583.5886724,677,0.0
1746332583.6409574,678,0.0
1746332583.694709,679,0.0
1746332583.8486207,682,0.0
1746332583.8973663,683,0.0
1746332583.9509878,684,0.0
1746332584.0779035,686,1.0
1746332584.1658342,688,0.0
1746332584.2273262,689,0.0
1746332584.6226995,696,0.0
1746332584.7827387,699,0.0
1746332585.0006697,703,0.0
1746332585.1676617,706,0.0
1746332585.3031414,708,0.0
1746332585.435171,710,1.0
1746332585.680293,714,0.0
1746332585.9155633,718,1.0
1746332586.0969982,721,0.0
1746332586.157742,722,0.0
1746332586.2219658,723,0.0
1746332586.294506,724,0.0
1746332586.6668959,730,1.0
1746332587.0724955,736,0.0
1746332587.1820173,738,0.0
1746332587.2348893,739,0.0
1746332587.4727607,743,0.0
1746332587.6461952,746,0.0
1746332587.7330315,747,2.0
1746332587.9001613,750,0.0
1746332587.9761128,751,0.0
1746332588.054004,752,0.0
1746332588.196296,754,0.0
1746332588.32727,756,1.0
1746332588.7131147,762,0.0
1746332588.9199712,765,0.0
1746332588.9898202,766,0.0
1746332589.18145,769,1.0
1746332589.2604678,770,1.0
1746332589.3150766,771,0.0
1746332589.4256837,773,0.0
1746332589.4876182,774,0.0
1746332589.845026,780,0.0
1746332590.0742068,784,0.0
1746332590.1400433,785,1.0
1746332590.2572155,787,0.0
1746332590.3947701,789,0.0
1746332590.5104697,791,2.0
1746332590.5637703,792,0.0
1746332590.6190338,793,0.0
1746332590.6734185,794,0.0
1746332590.7492669,795,1.0
1746332590.9356368,798,1.0
1746332591.066727,800,1.0
1746332591.1804254,802,0.0
1746332591.3571155,805,0.0
1746332591.4986768,807,0.0
1746332591.579715,808,1.0
1746332591.6513133,809,1.0
1746332592.0347762,815,1.0
1746332592.1097465,816,0.0
1746332592.2372773,818,0.0
1746332592.414017,821,1.0
1746332592.6608617,825,0.0
1746332592.8143866,828,1.0
1746332592.972709,831,1.0
1746332593.0416105,832,0.0
1746332593.150503,834,0.0
1746332593.2866764,836,0.0
1746332593.4246004,838,1.0
1746332593.7258315,843,2.0
1746332593.928068,846,2.0
1746332594.081105,848,1.0
1746332595.0214057,863,1.0
1746332595.2969944,867,0.0
1746332595.3954985,869,0.0
1746332595.4658422,870,1.0
1746332595.7007763,874,0.0
1746332595.8215034,876,1.0
1746332595.8780253,877,0.0
1746332596.0772228,880,1.0
1746332596.2204037,882,1.0
1746332596.344725,884,0.0
1746332596.5044394,887,0.0
1746332596.5993438,889,0.0
1746332596.6647696,890,1.0
1746332596.7883637,892,0.0
1746332596.9923959,896,1.0
1746332597.2214944,900,1.0
1746332597.6634073,907,3.0
1746332597.7250314,908,1.0
1746332597.807754,909,5.0
1746332597.86885,910,0.0
1746332597.9970403,912,1.0
1746332598.1632304,915,0.0
1746332598.2339125,916,1.0
1746332598.285046,917,0.0
1746332598.4435234,920,0.0
1746332598.5085957,921,1.0
1746332598.5858538,922,2.0
1746332598.657851,923,3.0
1746332599.140174,931,0.0
1746332599.1998167,932,1.0
1746332599.3685644,935,0.0
1746332599.736422,942,0.0
1746332599.921296,945,0.0
1746332600.3725173,953,0.0
1746332600.430052,954,1.0
1746332600.539241,956,0.0
1746332600.5982149,957,1.0
1746332600.6722834,958,2.0
1746332600.8415966,961,1.0
1746332600.8947425,962,0.0
1746332601.0155954,964,4.0
1746332601.1408901,966,5.0
1746332601.4817762,971,1.0
1746332601.5606143,972,2.0
1746332601.7938468,976,0.0
1746332601.8814635,977,6.0
1746332601.957687,978,0.0
1746332602.0238664,979,1.0
1746332602.207875,982,1.0
1746332602.2729287,983,0.0
1746332602.324209,984,0.0
1746332602.5135028,987,2.0
1746332602.5640552,988,0.0
1746332603.0388908,996,1.0
1746332603.30148,1000,1.0
1746332603.4272778,1002,0.0
1746332603.5323284,1004,1.0
1746332603.582354,1005,0.0
1746332603.7430444,1008,0.0
1746332603.962555,1011,5.0
1746332604.025343,1012,0.0
1746332604.086823,1013,0.0
1746332604.1519775,1014,0.0
1746332604.325949,1017,1.0
1746332604.8412776,1025,1.0
1746332604.9895484,1027,0.0
1746332605.1457949,1029,0.0
1746332605.2771018,1031,2.0
1746332605.334458,1032,0.0
1746332605.5140667,1035,0.0
1746332605.623343,1037,0.0
1746332605.769397,1039,0.0
1746332606.0571032,1044,0.0
1746332606.4211733,1051,0.0
1746332606.4734588,1052,0.0
1746332606.6713192,1055,2.0
1746332606.8050447,1057,0.0
1746332607.1660109,1063,0.0
1746332607.2349823,1064,2.0
1746332607.3667293,1066,0.0
1746332607.4889176,1068,2.0
1746332607.7698853,1072,0.0
1746332608.1966863,1076,6.0
1746332608.3437219,1078,2.0
1746332608.6544714,1083,0.0
1746332608.716133,1084,0.0
1746332608.779086,1085,0.0
1746332609.1529546,1092,0.0
1746332609.2052648,1093,0.0
1746332609.5602574,1099,1.0
1746332609.7920284,1103,1.0
1746332609.8419504,1104,0.0
1746332609.903872,1105,0.0
1746332610.5155504,1114,0.0
1746332610.657529,1116,1.0
1746332610.85475,1119,3.0
1746332611.2738438,1125,1.0
1746332611.3412366,1126,1.0
1746332611.607403,1130,6.0
1746332611.8443341,1133,4.0
1746332611.9004295,1134,0.0
1746332611.9626005,1135,0.0
1746332612.1356914,1138,1.0
1746332612.7701201,1149,2.0
1746332612.926682,1152,1.0
1746332613.142815,1155,2.0
1746332613.2005079,1156,0.0
1746332613.2634299,1157,0.0
1746332613.467725,1160,0.0
1746332613.5250816,1161,0.0
1746332613.5831425,1162,0.0
1746332614.5274415,1177,0.0
1746332614.7104595,1180,0.0
1746332614.8386161,1182,1.0
1746332614.8917305,1183,1.0
1746332615.0154269,1185,0.0
1746332615.0855815,1186,1.0
1746332615.3215592,1189,5.0
1746332615.5251665,1192,2.0
1746332615.5860498,1193,0.0
1746332615.7180421,1195,0.0
1746332615.8553593,1197,2.0
1746332616.0209992,1199,1.0
1746332616.156964,1201,0.0
1746332616.3749452,1204,0.0
1746332616.4959733,1206,1.0
1746332616.627132,1208,0.0
1746332616.7390153,1210,0.0
1746332616.857623,1212,1.0
1746332617.017456,1214,3.0
1746332617.619794,1224,1.0
1746332617.834651,1228,0.0
1746332618.1360033,1232,0.0
1746332618.199523,1233,0.0
1746332618.265403,1234,1.0
1746332618.390231,1236,1.0
1746332618.618002,1239,1.0
1746332618.850335,1242,4.0
1746332618.9671032,1244,0.0
1746332619.1720834,1247,1.0
1746332619.6566613,1253,2.0
1746332619.7930965,1255,0.0
1746332619.9147825,1257,0.0
1746332619.985618,1258,1.0
1746332620.1919374,1261,3.0
1746332620.2732658,1262,3.0
1746332620.350539,1263,1.0
1746332620.5674915,1266,0.0
1746332621.1560032,1274,0.0
1746332621.4852383,1279,1.0
1746332621.6518123,1281,6.0
1746332622.1596045,1287,3.0
1746332622.4449189,1291,1.0
1746332622.5131178,1292,0.0
1746332622.5818613,1293,1.0
1746332622.665778,1294,1.0
1746332623.1594882,1300,3.0
1746332623.4054193,1303,4.0
1746332623.9630258,1310,10.0
1746332624.1303074,1312,2.0
1746332624.3679097,1315,7.0
1746332624.4706671,1316,10.0
1746332624.6687186,1319,0.0
1746332624.7493918,1320,3.0
1746332625.1713042,1325,3.0
1746332625.2577188,1326,5.0
1746332625.35777,1327,6.0
1746332625.637084,1330,5.0
1746332625.8553746,1333,0.0
1746332625.9300795,1334,1.0
1746332626.0073655,1335,4.0
1746332626.076704,1336,2.0
1746332626.1473482,1337,2.0
1746332626.58067,1343,5.0
1746332627.0132072,1349,4.0
1746332627.3171477,1355,3.0
1746332627.4981153,1359,1.0
1746332627.628027,1361,14.0
1746332627.8790257,1366,5.0
1746332628.0840788,1370,1.0
1746332628.489795,1377,2.0
1746332628.6058185,1379,2.0
1746332628.7726126,1382,1.0
1746332628.905161,1384,9.0
1746332628.9636333,1385,1.0
1746332629.1764336,1388,8.0
1746332629.2244878,1389,1.0
1746332629.3423007,1391,0.0
1746332629.3944366,1392,0.0
1746332629.5744584,1395,0.0
1746332630.681342,1412,2.0
1746332630.7312126,1413,1.0
1746332630.7928934,1414,3.0
1746332630.850813,1415,2.0
1746332631.0550282,1419,9.0
1746332631.2095418,1422,3.0
1746332631.4346154,1426,0.0
1746332631.481739,1427,1.0
1746332631.5303588,1428,2.0
1746332631.7393625,1432,1.0
1746332631.7975159,1433,4.0
1746332631.8433473,1434,0.0
1746332631.9798417,1436,7.0
1746332632.0890179,1438,4.0
1746332632.2110865,1440,0.0
1746332632.3206491,1442,5.0
1746332632.7162368,1450,5.0
1746332632.9259584,1455,4.0
1746332632.9951267,1456,2.0
1746332633.5699642,1465,2.0
1746332633.6175802,1466,1.0
1746332634.2860184,1477,2.0
1746332634.5539148,1482,2.0
1746332634.7218428,1485,4.0
1746332634.809923,1486,9.0
1746332635.0720143,1489,8.0
1746332635.2541094,1491,9.0
1746332635.3371012,1492,3.0
1746332636.1841276,1500,8.0
1746332636.29363,1501,8.0
1746332636.348417,1502,0.0
1746332636.4491072,1503,12.0
1746332636.6809778,1506,3.0
1746332636.8409507,1508,3.0
1746332636.947586,1509,7.0
1746332637.0269895,1510,1.0
1746332637.7535243,1518,6.0
1746332638.2012708,1523,3.0
1746332638.2946932,1524,1.0
1746332638.5134585,1527,5.0
1746332639.356896,1534,1.0
1746332639.5531409,1536,6.0
1746332640.3244185,1546,8.0
1746332640.8654294,1551,20.0
1746332640.974679,1552,7.0
1746332641.2600465,1554,12.0
1746332641.3570967,1555,8.0
1746332642.0479484,1561,2.0
1746332642.126519,1562,3.0
1746332642.556589,1568,1.0
1746332642.6211784,1569,2.0
1746332643.5131028,1578,1.0
1746332643.849834,1582,3.0
1746332644.0892484,1584,11.0
1746332644.4200308,1588,0.0
1746332645.3239527,1597,0.0
1746332645.4759371,1599,1.0
1746332645.7842445,1602,4.0
1746332646.0311985,1604,12.0
1746332646.1626472,1605,13.0
1746332646.8080575,1610,7.0
1746332647.063702,1613,1.0
1746332647.45677,1618,0.0
1746332647.5917645,1620,1.0
1746332648.031142,1624,12.0
1746332648.280816,1626,14.0
1746332648.4272437,1627,19.0
1746332648.5655453,1628,15.0
1746332648.8932965,1630,20.0
1746332649.118737,1632,6.0
1746332649.4880424,1637,0.0
1746332649.7187846,1640,0.0
1746332649.8613746,1642,2.0
1746332650.144178,1645,13.0
1746332650.6570842,1648,36.0
1746332651.2834368,1652,33.0
1746332651.8424215,1655,42.0
1746332652.2485123,1659,9.0
1746332652.296638,1660,1.0
1746332652.343357,1661,0.0
1746332652.6533797,1668,1.0
1746332652.7950394,1670,9.0
1746332652.9825463,1672,22.0
1746332653.226207,1675,16.0
1746332653.3279667,1676,16.0
1746332653.6840837,1682,5.0
1746332653.7342002,1683,0.0
1746332653.9519398,1687,0.0
1746332654.1931636,1691,4.0
1746332654.480292,1694,10.0
1746332654.6394455,1695,27.0
1746332654.8035161,1696,38.0
1746332654.9155395,1697,18.0
1746332655.136595,1699,30.0
1746332655.39037,1702,15.0
1746332655.8458774,1709,1.0
1746332655.8940032,1710,0.0
1746332656.170859,1715,3.0
1746332656.2948685,1717,11.0
1746332656.3627648,1718,10.0
1746332656.474545,1719,20.0
1746332657.155086,1728,2.0
1746332657.4216506,1732,23.0
1746332657.490324,1733,10.0
1746332657.5880756,1734,17.0
1746332657.6898317,1735,19.0
1746332657.9148278,1737,34.0
1746332658.4365294,1742,17.0
1746332658.4831488,1743,0.0
1746332658.5900893,1745,1.0
1746332658.6429613,1746,2.0
1746332658.6885736,1747,1.0
1746332658.8444867,1750,4.0
1746332658.9409394,1752,0.0
1746332658.9935744,1753,3.0
1746332659.0584168,1754,4.0
1746332659.7927601,1763,16.0
1746332660.1461523,1766,19.0
1746332661.0504131,1775,3.0
1746332661.431694,1781,10.0
1746332661.4992611,1782,7.0
1746332662.0189033,1788,6.0
1746332662.1390882,1789,24.0
1746332662.276816,1790,23.0
1746332662.4757786,1792,19.0
1746332663.0205574,1798,11.0
1746332663.3778124,1804,2.0
1746332663.4308324,1805,1.0
1746332663.9801729,1813,0.0
1746332664.0769153,1814,12.0
1746332664.3089705,1817,3.0
1746332664.5586915,1820,2.0
1746332665.0576398,1824,28.0
1746332665.3034902,1826,35.0
1746332665.8177543,1830,45.0
1746332666.1801472,1836,0.0
1746332666.4013317,1840,5.0
1746332666.4705348,1841,8.0
1746332666.870393,1844,29.0
1746332667.1212425,1846,27.0
1746332667.4016283,1849,5.0
1746332667.6547184,1853,3.0
1746332667.8009496,1855,5.0
1746332668.0531998,1857,10.0
1746332668.1941245,1858,25.0
1746332668.2699494,1859,10.0
1746332668.7218823,1866,0.0
1746332668.813371,1868,1.0
1746332668.870012,1869,0.0
1746332670.4505243,1875,25.0
1746332670.806474,1876,47.0
1746332670.8881829,1877,9.0
1746332671.3797069,1879,92.0
1746332671.6883976,1881,35.0
1746332672.8156614,1893,0.0
1746332673.6716204,1902,48.0
1746332675.3328543,1906,286.0
1746332676.183791,1911,8.0
1746332676.2395778,1912,3.0
1746332676.4832609,1917,0.0
1746332676.539512,1918,0.0
1746332676.584123,1919,0.0
1746332676.7902045,1923,1.0
1746332676.8454015,1924,2.0
1746332677.67859,1930,120.0
1746332681.2743547,1934,71.0
