Wall time,Step,Value
1746332554.3204699,5,15.0
1746332554.3557515,6,15.0
1746332554.5348394,11,19.0
1746332554.626576,14,15.0
1746332554.6591554,15,16.0
1746332554.7778928,18,30.0
1746332554.8390532,20,15.0
1746332554.9743965,24,18.0
1746332555.4143639,36,12.0
1746332555.5701778,40,23.0
1746332555.641334,42,17.0
1746332555.7060165,44,18.0
1746332555.7401786,45,17.0
1746332555.8226547,47,20.0
1746332556.0241404,53,19.0
1746332556.0662467,54,23.0
1746332556.1038423,55,19.0
1746332556.1299105,56,14.0
1746332556.1529672,57,10.0
1746332556.4146724,65,15.0
1746332556.5224478,68,16.0
1746332556.6191964,71,11.0
1746332556.655862,72,16.0
1746332556.6934528,73,17.0
1746332556.720019,74,10.0
1746332556.9005687,79,16.0
1746332557.1863866,87,20.0
1746332557.2104497,88,13.0
1746332557.4147644,94,15.0
1746332557.6947918,102,13.0
1746332557.8060741,105,14.0
1746332557.83515,106,17.0
1746332558.0837245,113,11.0
1746332558.1742187,116,13.0
1746332558.2343724,118,13.0
1746332558.5839827,126,18.0
1746332558.674466,129,15.0
1746332558.7070405,130,14.0
1746332558.9969604,139,17.0
1746332559.0648086,141,14.0
1746332559.095387,142,17.0
1746332559.1344893,143,17.0
1746332559.4259772,150,20.0
1746332559.6046054,155,12.0
1746332559.6847184,157,14.0
1746332559.7308943,158,33.0
1746332559.8996875,162,18.0
1746332560.105055,167,18.0
1746332560.134132,168,12.0
1746332560.2505314,171,12.0
1746332560.4901323,177,19.0
1746332560.525224,178,13.0
1746332560.5993717,180,15.0
1746332560.6951714,183,13.0
1746332560.7722342,185,18.0
1746332560.8040416,186,15.0
1746332560.8762555,188,13.0
1746332560.9771583,190,22.0
1746332561.0346406,191,21.0
1746332561.3161077,198,15.0
1746332561.6349578,206,18.0
1746332561.6838896,207,24.0
1746332561.722858,208,21.0
1746332561.8554847,212,16.0
1746332562.2195802,222,17.0
1746332562.261552,223,19.0
1746332562.3451154,225,23.0
1746332562.4932761,229,19.0
1746332562.6142604,232,22.0
1746332562.6413321,233,10.0
1746332562.6759143,234,14.0
1746332562.7799568,237,12.0
1746332563.2503843,249,15.0
1746332563.4755888,255,17.0
1746332563.5862038,258,19.0
1746332563.6607635,260,14.0
1746332563.6900094,261,12.0
1746332563.7587817,263,20.0
1746332563.9079535,267,15.0
1746332564.0638304,271,23.0
1746332564.1284962,273,17.0
1746332564.3145912,278,16.0
1746332564.8395965,292,12.0
1746332565.0250401,297,21.0
1746332565.0593617,298,17.0
1746332565.2030568,302,16.0
1746332565.2301276,303,14.0
1746332565.371256,307,17.0
1746332565.4087694,308,15.0
1746332565.4835885,310,18.0
1746332565.5973327,313,15.0
1746332565.7454965,318,12.0
1746332565.7803612,319,14.0
1746332565.8162508,320,17.0
1746332566.0132222,325,20.0
1746332566.0650265,326,18.0
1746332566.1060092,327,18.0
1746332566.267891,330,21.0
1746332566.6709638,339,17.0
1746332566.7571049,341,16.0
1746332567.0575452,347,22.0
1746332567.3257985,353,18.0
1746332567.383254,354,23.0
1746332567.626326,360,18.0
1746332567.7571554,363,18.0
1746332567.9555087,367,22.0
1746332568.1485393,371,21.0
1746332568.233527,373,18.0
1746332568.4091663,377,14.0
1746332568.4437528,378,15.0
1746332568.5056586,379,25.0
1746332568.5992832,381,17.0
1746332568.8234844,386,16.0
1746332569.03822,391,17.0
1746332569.0790498,392,16.0
1746332569.1288824,393,20.0
1746332569.7617638,408,13.0
1746332570.0748484,415,20.0
1746332570.309042,421,22.0
1746332570.3431106,422,10.0
1746332570.438222,424,16.0
1746332570.526803,426,19.0
1746332570.714786,430,20.0
1746332571.150162,439,12.0
1746332571.2293189,441,14.0
1746332571.2803388,442,22.0
1746332571.4288347,445,21.0
1746332571.7475567,451,20.0
1746332572.1164143,459,13.0
1746332572.1549714,460,14.0
1746332572.295088,463,17.0
1746332572.3543143,464,26.0
1746332572.7456245,473,21.0
1746332572.784299,474,14.0
1746332573.3501592,485,17.0
1746332573.51847,488,18.0
1746332573.5732358,489,21.0
1746332573.6903706,491,24.0
1746332573.7671447,493,17.0
1746332574.3833323,507,16.0
1746332574.6214254,512,12.0
1746332574.7329888,514,25.0
1746332574.8869388,517,23.0
1746332574.9761775,519,18.0
1746332575.214212,524,19.0
1746332575.2665675,525,31.0
1746332575.546297,531,18.0
1746332575.6254041,533,16.0
1746332575.6728075,534,17.0
1746332575.7566428,536,14.0
1746332575.8002605,537,20.0
1746332575.9309332,540,16.0
1746332576.0449848,542,38.0
1746332576.344506,547,19.0
1746332576.3966484,548,24.0
1746332576.865633,557,19.0
1746332576.9840925,559,26.0
1746332577.1934633,563,21.0
1746332577.2476778,564,33.0
1746332577.2986317,565,22.0
1746332577.4972465,569,26.0
1746332577.7033608,573,12.0
1746332577.7659078,574,22.0
1746332577.9362018,577,30.0
1746332578.0590143,579,24.0
1746332578.1227534,580,26.0
1746332578.171311,581,17.0
1746332578.2160978,582,17.0
1746332578.2716599,583,22.0
1746332578.3242564,584,24.0
1746332578.4083235,586,16.0
1746332578.458371,587,22.0
1746332578.7402408,592,26.0
1746332578.7903447,593,19.0
1746332579.0302558,597,21.0
1746332579.1658518,600,15.0
1746332579.2782614,602,19.0
1746332579.6279154,608,23.0
1746332579.7493174,610,39.0
1746332580.1569257,615,22.0
1746332580.3947701,619,22.0
1746332580.4533024,620,22.0
1746332580.5911307,622,63.0
1746332581.2197466,634,19.0
1746332581.6569448,641,20.0
1746332581.7194002,642,35.0
1746332581.8212047,644,23.0
1746332581.8675668,645,20.0
