Wall time,Step,Value
1746332554.3204699,5,17.0
1746332554.3557515,6,17.0
1746332554.5348394,11,21.0
1746332554.626576,14,17.0
1746332554.6591554,15,18.0
1746332554.7778928,18,22.0
1746332554.8390532,20,17.0
1746332554.9753983,24,20.0
1746332555.4143639,36,14.0
1746332555.5701778,40,25.0
1746332555.641334,42,19.0
1746332555.7060165,44,20.0
1746332555.7401786,45,19.0
1746332555.8226547,47,22.0
1746332556.0241404,53,21.0
1746332556.0662467,54,25.0
1746332556.1038423,55,21.0
1746332556.1299105,56,16.0
1746332556.1529672,57,12.0
1746332556.4146724,65,17.0
1746332556.5224478,68,18.0
1746332556.6191964,71,13.0
1746332556.655862,72,18.0
1746332556.6934528,73,19.0
1746332556.720019,74,12.0
1746332556.9005687,79,18.0
1746332557.1863866,87,22.0
1746332557.2104497,88,15.0
1746332557.4147644,94,17.0
1746332557.6947918,102,15.0
1746332557.8060741,105,16.0
1746332557.83515,106,19.0
1746332558.0837245,113,13.0
1746332558.1742187,116,15.0
1746332558.235375,118,15.0
1746332558.5839827,126,20.0
1746332558.674466,129,17.0
1746332558.7070405,130,16.0
1746332558.9969604,139,19.0
1746332559.0648086,141,16.0
1746332559.095387,142,19.0
1746332559.1344893,143,19.0
1746332559.4259772,150,22.0
1746332559.6046054,155,14.0
1746332559.6847184,157,16.0
1746332559.7308943,158,25.0
1746332559.8996875,162,20.0
1746332560.105055,167,20.0
1746332560.134132,168,14.0
1746332560.2505314,171,14.0
1746332560.4901323,177,21.0
1746332560.525224,178,15.0
1746332560.5993717,180,17.0
1746332560.6951714,183,15.0
1746332560.7722342,185,20.0
1746332560.8040416,186,17.0
1746332560.8762555,188,15.0
1746332560.9771583,190,24.0
1746332561.0346406,191,23.0
1746332561.3161077,198,17.0
1746332561.6349578,206,20.0
1746332561.6838896,207,26.0
1746332561.722858,208,23.0
1746332561.8554847,212,18.0
1746332562.2195802,222,19.0
1746332562.261552,223,21.0
1746332562.3451154,225,25.0
1746332562.4932761,229,21.0
1746332562.6142604,232,24.0
1746332562.6413321,233,12.0
1746332562.6759143,234,16.0
1746332562.7809596,237,14.0
1746332563.2503843,249,17.0
1746332563.4755888,255,19.0
1746332563.5862038,258,21.0
1746332563.6607635,260,16.0
1746332563.6900094,261,14.0
1746332563.7587817,263,22.0
1746332563.9079535,267,17.0
1746332564.0638304,271,25.0
1746332564.1284962,273,19.0
1746332564.3145912,278,18.0
1746332564.8395965,292,14.0
1746332565.0250401,297,23.0
1746332565.0593617,298,19.0
1746332565.2030568,302,18.0
1746332565.2301276,303,16.0
1746332565.371256,307,19.0
1746332565.4087694,308,17.0
1746332565.4835885,310,20.0
1746332565.5973327,313,17.0
1746332565.7454965,318,14.0
1746332565.7803612,319,16.0
1746332565.8162508,320,19.0
1746332566.0142245,325,22.0
1746332566.0650265,326,20.0
1746332566.1060092,327,20.0
1746332566.267891,330,23.0
1746332566.6709638,339,19.0
1746332566.7581065,341,18.0
1746332567.0575452,347,24.0
1746332567.3257985,353,20.0
1746332567.383254,354,25.0
1746332567.6273298,360,20.0
1746332567.7571554,363,20.0
1746332567.9555087,367,24.0
1746332568.1485393,371,23.0
1746332568.233527,373,20.0
1746332568.4091663,377,16.0
1746332568.4437528,378,17.0
1746332568.5056586,379,27.0
1746332568.5992832,381,19.0
1746332568.8234844,386,18.0
1746332569.03822,391,19.0
1746332569.0790498,392,18.0
1746332569.1288824,393,22.0
1746332569.7617638,408,15.0
1746332570.0748484,415,22.0
1746332570.309042,421,24.0
1746332570.3431106,422,12.0
1746332570.438222,424,18.0
1746332570.526803,426,21.0
1746332570.714786,430,22.0
1746332571.150162,439,14.0
1746332571.2293189,441,16.0
1746332571.2803388,442,24.0
1746332571.4288347,445,23.0
1746332571.7475567,451,22.0
1746332572.1164143,459,15.0
1746332572.1549714,460,16.0
1746332572.295088,463,19.0
1746332572.3543143,464,28.0
1746332572.7456245,473,23.0
1746332572.784299,474,16.0
1746332573.3501592,485,19.0
1746332573.51847,488,20.0
1746332573.5732358,489,23.0
1746332573.6903706,491,26.0
1746332573.7671447,493,19.0
1746332574.3833323,507,18.0
1746332574.6214254,512,14.0
1746332574.7329888,514,27.0
1746332574.8869388,517,25.0
1746332574.9771798,519,20.0
1746332575.214212,524,21.0
1746332575.2665675,525,23.0
1746332575.546297,531,20.0
1746332575.6254041,533,18.0
1746332575.6728075,534,19.0
1746332575.7566428,536,16.0
1746332575.8002605,537,22.0
1746332575.9309332,540,18.0
1746332576.0449848,542,30.0
1746332576.344506,547,21.0
1746332576.3966484,548,26.0
1746332576.865633,557,21.0
1746332576.9840925,559,28.0
1746332577.1934633,563,23.0
1746332577.2476778,564,25.0
1746332577.2986317,565,24.0
1746332577.4972465,569,28.0
1746332577.7033608,573,14.0
1746332577.7659078,574,24.0
1746332577.9362018,577,22.0
1746332578.0590143,579,26.0
1746332578.1227534,580,28.0
1746332578.171311,581,19.0
1746332578.2160978,582,19.0
1746332578.2716599,583,24.0
1746332578.3242564,584,26.0
1746332578.4083235,586,18.0
1746332578.458371,587,24.0
1746332578.7402408,592,28.0
1746332578.7903447,593,21.0
1746332579.0302558,597,23.0
1746332579.1658518,600,17.0
1746332579.2782614,602,21.0
1746332579.6279154,608,25.0
1746332579.7493174,610,31.0
1746332580.1569257,615,24.0
1746332580.3947701,619,24.0
1746332580.4533024,620,24.0
1746332580.5911307,622,35.0
1746332581.2197466,634,21.0
1746332581.6569448,641,22.0
1746332581.7194002,642,27.0
1746332581.8212047,644,25.0
1746332581.8675668,645,22.0
1746332581.921221,646,22.0
1746332581.974017,647,23.0
1746332582.0936618,649,23.0
1746332582.2607293,652,19.0
1746332582.46859,656,24.0
1746332582.519236,657,22.0
1746332582.7267015,661,26.0
1746332582.885642,664,19.0
1746332583.101773,668,22.0
1746332583.2722974,671,27.0
1746332583.334841,672,31.0
